Investor_Id,first,IT,early,year
11129-59,1,1,0,1996
11131-03,0,1,0,1996
11132-20,1,0,1,1996
11132-38,0,0,0,1996
11133-01,1,1,1,1996
11133-37,0,0,0,1996
11135-62,1,1,0,1996
11135-71,1,0,1,1996
11136-61,0,0,0,1996
11137-87,1,0,1,1996
11138-68,1,0,1,1996
11139-04,1,0,1,1996
11141-65,0,0,1,1996
11142-19,1,1,1,1996
11142-73,1,1,1,1996
11145-52,1,0,1,1996
11147-95,1,0,0,1996
11148-04,0,1,1,1996
11150-29,1,0,0,1996
11151-91,1,0,1,1996
11153-98,1,0,1,1996
11157-94,1,0,0,1996
11158-84,0,1,0,1996
11159-74,0,1,1,1996
11160-10,0,0,0,1996
11161-36,1,0,0,1996
11162-08,0,0,0,1996
11165-50,0,1,1,1996
11165-68,1,1,1,1996
11166-58,0,1,0,1996
11168-92,0,0,1,1996
11169-91,0,1,1,1996
11170-81,1,1,1,1996
11171-08,0,1,1,1996
11172-43,1,1,1,1996
11173-42,1,0,1,1996
11173-60,0,0,0,1996
11174-14,1,0,0,1996
11174-77,0,1,1,1996
11177-02,0,0,0,1996
11177-11,0,0,0,1996
11177-20,1,0,1,1996
11179-99,0,0,1,1996
11181-43,0,0,1,1996
11182-96,0,0,0,1996
11184-40,1,0,1,1996
11184-49,0,0,0,1996
